Estados Unidos,Europa,Reino Unido,Japao,China,Suica,Australia,Canada,Coreia do Sul,Noruega,Suecia,Mexico,India,Brasil
5.33,3.92527272727273,5.2,0.025,2.79,1.6852380952381,4.35,4.948,3.74,4.71,3.97095,11.66,6.75,11.75
5.33,3.92319047619048,5.21,0.027,2.69,1.7,4.34,4.935,3.69,4.71,4.04338,11.65,6.75,11.25
5.33,3.92238095238095,5.2,0.109,2.53,1.5,4.35,4.905,3.65,4.73,4.0525,11.61,6.75,11.07
5.33,3.88636363636364,5.18,0.109,2.49,1.5,4.37,4.925,3.57,4.72,3.95071,11.41,6.75,10.75
5.33,3.81365217391304,5.16,0.129,2.32,1.5,4.36,4.868,3.6,4.71,3.78762,11.4,6.75,10.56
5.33,3.7245,5.16,0.149,2.23,1.427,4.39,4.6475,3.6,4.73,3.68339,11.39,6.75,10.5
5.33,3.68482608695652,5.09,0.166,2.21,1.19347826086957,4.46,4.508,3.54,4.76,3.5847,11.4,6.75,10.5
5.33,3.54759090909091,4.91,0.255,2.04,1.06647238095238,4.38,4.2325,3.5,4.74,3.36582,11.23,6.75,10.5
5.13,3.43371428571428,4.84,0.256,2.06,1.02214285714286,4.42,4.0425,3.52,4.73,3.13867,11.14,6.75,10.6
4.83,3.16660869565217,4.75,0.256,2.1,0.894492608695652,4.41,3.71,3.43,4.7,2.91691,10.89,6.75,10.75
4.64,3.0067619047619,4.68,0.362,2.04,0.806508095238095,4.42,3.48,3.42,4.7,2.66529,10.8,6.75,11.15
4.48,2.81609090909091,4.64,0.386,2.0,0.60075,4.44,3.195,3.35,4.68,2.45478,10.64,6.75,11.9
4.33,2.7031304348,4.55,0.76727,1.94,0.408095238095238,4.33,3.058,3.04,4.61,2.33105,10.38,6.75,12.31
4.33,2.52495,4.44,0.79182,1.99,0.37125,4.17,2.8425,2.95,4.51,2.2802,9.96,6.75,13.25
4.33,2.4424285714,4.39,0.82091,2.14,0.312911904761905,4.12,2.66,2.84,4.57,2.29952,9.82,6.75,13.64
4.33,2.2481818182,4.26,0.78364,2.02,0.15585,4.02,2.622,2.74,4.59,2.268,9.35,6.75,14.25
4.33,2.0912727273,4.19,0.77545,1.83,0.092,3.78,2.6225,2.67,4.64,2.30257,9.12,6.75,14.63
4.33,1.9836190476,4.15,0.77273,1.79,0.039603,3.69,2.66,2.57,4.34,2.18842,8.8,6.75,14.84
4.33,1.9863478261,4.05,0.77273,1.78,-0.0406521739130435,3.68,2.662,2.51,4.33,2.07874,8.31,6.75,15.0
4.33,2.0210952381,3.98,0.77273,1.66,-0.0615,3.61,2.655,2.51,4.26,2.043,8.14,6.75,15.0
4.22,2.0272727273,3.97,0.81818,1.68,-0.0596968181818182,3.58,2.4925,2.56,4.13,1.98341,8.07,6.75,15.0
4.09,2.0344347826,3.93,0.80909,1.69,-0.0643113043478261,3.56,2.334,2.55,4.25,1.85274,7.86,6.75,15.0
3.88,2.04165,3.84,0.80636,1.66,-0.0475,3.65,2.185,2.69,4.22,1.8687,7.66,6.75,15.0
3.72,2.0457826087,3.75,1.07273,1.69,-0.0482128571428571,3.71,2.164,2.84,4.07,1.92889,7.52,6.75,15.0
3.64,2.0277272727,3.71,1.11636,1.75,-0.0388865,3.77,2.19,2.7,4.11,1.9577,7.34,6.75,15.0
3.64,2.0277272727,3.71,1.23,1.75,-0.04,3.96,2.1775,2.78,4.17,1.91,7.33,6.75,15.0
3.64,2.0277272727,3.71,1.23,1.75,-0.04,3.96,2.1775,2.78,4.17,1.91,7.33,6.75,15.0
